Vertical Position [m],Corrected sp Cond [uS/cm]
2.807,5563.089188405787
2.815,5562.953971014484
2.819,5562.814657004821
2.82,5562.679710144917
2.821,5562.548231884048
2.829,5562.420850241537
2.831,5562.283845410618
2.833,5562.14038647342
2.842,5561.988685990328
2.847,5561.832927536222
2.848,5561.677265700474
2.858,5561.513661835739
2.864,5561.35566183574
2.868,5561.199729468589
2.872,5561.047024154579
2.883,5560.883903381633
2.886,5560.744859903371
2.895,5560.606222222213
2.898,5560.475487922696
2.9,5560.367072463759
2.908,5560.261227053131
2.912,5560.161816425111
2.915,5560.076821256029
2.927,5560.013642512068
2.935,5559.967101449266
2.943,5559.938743961343
2.951,5559.929536231874
2.974,5559.944753623178
2.988,5559.97709178743
3.0,5560.02231884057
3.027,5560.073082125594
3.038,5560.1394202898455
3.047,5560.221043478251
3.065,5560.314666666657
3.07,5560.428618357479
3.074,5560.563729468589
3.083,5560.711053140087
3.088,5560.866338164242
3.092,5561.030028985498
3.097,5561.195265700474
3.109,5561.355188405787
3.112,5561.505352656995
3.116,5561.653507246368
3.131,5561.783400966174
3.139,5561.895864734289
3.148,5561.99922705313
3.175,5562.092618357478
3.192,5562.173333333323
3.213,5562.231942028977
3.265,5562.266705314
3.287,5562.283574879217
3.3,5562.281777777768
3.314,5562.253816425112
3.338,5562.2047729468495
3.346,5562.135420289845
3.355,5562.054415458928
3.369,5561.971188405787
3.375,5561.876637681149
3.382,5561.774434782599
3.398,5561.666415458928
3.406,5561.550164251198
3.412,5561.421371980667
3.43,5561.283420289846
3.438,5561.142550724628
3.443,5560.9909758454005
3.456,5560.828599033807
3.462,5560.663014492744
3.467,5560.487787439604
3.471,5560.309062801923
3.481,5560.116483091778
3.486,5559.926743961343
3.488,5559.730512077285
3.501,5559.519033816416
3.507,5559.29613526569
3.51,5559.061333333324
3.525,5558.814724637671
3.532,5558.544792270522
3.538,5558.279265700473
3.544,5557.946956521729
3.559,5557.64361352656
3.563,5557.332521739121
3.569,5557.011652173904
3.585,5556.674666666657
3.592,5556.3351111111015
3.596,5555.980502415449
3.606,5555.598743961343
3.611,5555.2118454106185
3.614,5554.818009661826
3.62,5554.413410628009
3.622,5553.994415458927
3.623,5553.576888888879
3.63,5553.147806763275
3.636,5552.718338164241
3.638,5552.292347826077
3.641,5551.87611594202
3.652,5551.461314009652
3.658,5551.053893719797
3.665,5550.654724637671
3.681,5550.264483091777
3.688,5549.878763285014
3.692,5549.500077294676
3.706,5549.137855072454
3.714,5548.767227053129
3.721,5548.464676328493
3.733,5548.159111111101
3.739,5547.873333333323
3.742,5547.593120772937
3.75,5547.330280193228
3.764,5547.076734299508
3.77,5546.833603864725
3.777,5546.604038647333
3.788,5546.376328502406
3.793,5546.160154589363
3.795,5545.945507246367
3.808,5545.736599033807
3.812,5545.525256038638
3.814,5545.322415458927
3.825,5545.126821256029
3.833,5544.934801932357
3.836,5544.740212560377
3.845,5544.548908212551
3.852,5544.35702415458
3.856,5544.160695652164
3.862,5543.9511690821155
3.877,5543.738995169073
3.882,5543.527613526561
3.885,5543.308657004822
3.902,5543.07636714975
3.912,5542.849371980667
3.92,5542.615188405787
3.94,5542.3713043478165
3.949,5542.127594202889
3.956,5541.877429951681
3.963,5541.619458937188
3.976,5541.340521739121
3.979,5541.04206763284
3.988,5540.735265700474
3.994,5540.411980676318
4.0,5540.085855072454
4.005,5539.753642512068
4.021,5539.424289855063
4.028,5539.099632850232
4.032,5538.7695072463675
4.047,5538.440637681149
4.053,5538.122164251198
4.058,5537.81122705313
4.066,5537.507439613517
4.074,5537.210415458927
4.077,5536.922183574869
4.083,5536.644772946851
4.104,5536.370492753614
4.113,5536.103652173902
4.125,5535.8509758454
4.147,5535.590106280183
4.155,5535.339574879218
4.16,5535.091111111101
4.174,5534.841140096608
4.184,5534.590782608687
4.189,5534.324077294677
4.2,5534.05147826086
4.209,5533.778550724628
4.214,5533.49638647342
4.223,5533.220270531392
4.237,5532.9437681159325
4.243,5532.667748792262
4.249,5532.393082125594
4.265,5532.113333333325
4.273,5531.836483091777
4.279,5531.5632077294595
4.297,5531.294183574871
4.304,5531.020309178734
4.306,5530.749178743951
4.319,5530.480888888879
4.326,5530.217758454096
4.331,5529.957024154579
4.342,5529.705314009652
4.351,5529.456869565209
4.354,5529.217739130425
4.36,5528.991304347817
4.376,5528.7807536231785
4.383,5528.57936231883
4.385,5528.387323671488
4.4,5528.202028985497
4.406,5528.022898550715
4.411,5527.851381642503
4.425,5527.681236714967
4.432,5527.532444444434
4.438,5527.388405797093
4.45,5527.253913043468
4.457,5527.133371980666
4.461,5527.013913043469
4.464,5526.906473429942
4.478,5526.799826086947
4.483,5526.694357487913
4.485,5526.594763285015
4.497,5526.512657004821
4.504,5526.435265700474
4.507,5526.361623188396
4.52,5526.297681159411
4.527,5526.244309178734
4.529,5526.194879227044
4.535,5526.1545700483
4.55,5526.116173913034
4.556,5526.091594202888
4.56,5526.068347826077
4.576,5526.050647342985
4.582,5526.0376231883965
4.591,5526.020908212551
4.596,5526.006357487913
4.601,5526.368743961343
4.602,5526.923980676319
4.612,5527.132792270522
4.617,5527.151246376802
4.618,5526.112405797092
