delta_m,well_id,cluster_id,depth_median,depth_min,depth_max,depth_iqr,n_savgol,n_lowess,persistence,agreement,cluster_diameter_m,wide_flag,n_bp_total
0.5,LRS69D,8,17.54523366447612,17.527975829303134,17.562491499649106,0.017257835172987512,1,1,2,1,0.03451567034597147,False,2
0.5,LRS69D,3,11.65836110309666,11.65836110309666,11.65836110309666,0.0,0,1,1,0,0.0,False,1
1.0,LRS69D,0,8.143124281105832,7.083062162441995,8.687779724796947,0.34288026217637757,9,9,18,9,1.6047175623549519,False,23
1.0,LRS69D,1,10.932484185833784,10.202453755773687,13.520266478612763,0.5024564564840031,9,9,18,9,3.3178127228390757,True,33
1.0,LRS69D,2,15.014618379223862,14.690386446587329,15.527628794021881,0.33304898638260916,6,7,13,6,0.8372423474345521,False,13
1.0,LRS69D,4,20.013362327011684,18.76049126094658,20.972914578760914,0.9207249355960805,6,6,12,6,2.212423317814334,True,20
1.0,LRS69D,6,24.568716524091748,24.22433575038632,24.618154522818106,0.30492402453811707,5,5,10,5,0.39381877243178565,False,10
1.0,LRS69D,3,16.9342196259495,16.87474367448334,17.562491499649106,0.5997319451931062,3,2,5,2,0.6877478251657649,False,5
1.0,LRS69D,5,22.2315487884913,22.209506373560195,22.403576766310728,0.09703519637526625,1,2,3,1,0.1940703927505325,False,3
1.0,LRS69D,7,27.05698328180613,27.044022177549905,27.056983281806147,0.006480552128124373,2,1,3,1,0.01296110425624164,False,3
