well_id,smoothing,N,bp_index,depth_bgl_m,sec_at_bp_uS_cm,cluster_id
AW5D,lowess,6,6,22.008215008225577,24907.901607671847,9
AW5D,lowess,7,1,13.710503387136773,654.6469076293998,6
AW5D,lowess,7,2,14.792352319010075,6390.286650858815,6
AW5D,lowess,7,3,18.666640402088632,13865.20263328164,8
AW5D,lowess,7,4,20.800116105926904,16501.16447629735,9
AW5D,lowess,7,5,21.895312034775408,23998.477851641008,9
AW5D,lowess,7,6,23.2014282051596,32277.139428811875,10
AW5D,lowess,7,7,24.04872270246777,37423.17446412912,11
AW5D,lowess,8,1,13.718401611612164,654.6469076293957,6
AW5D,lowess,8,2,14.67949915878424,5195.203832839644,6
AW5D,lowess,8,3,15.160863417780366,7523.943634742626,6
AW5D,lowess,8,4,15.935838189745342,7749.374299846211,7
AW5D,lowess,8,5,18.421984742481452,13504.009301631999,8
AW5D,lowess,8,6,20.81833993360012,16585.946669282028,9
AW5D,lowess,8,7,22.00855512152266,24940.668164957948,9
AW5D,lowess,8,8,24.425432890982588,40829.15203832071,11
AW6D,savgol,1,1,8.726441983920944,393.19057717384715,5
AW6D,savgol,2,1,10.11367781848231,394.402505083587,6
AW6D,savgol,2,2,14.011344052098796,3840.0798233328505,8
AW6D,savgol,3,1,10.735056921929809,394.7223938824763,6
AW6D,savgol,3,2,11.250974713902668,1083.6588180192425,6
AW6D,savgol,3,3,17.789505923611813,12489.648629882917,10
AW6D,savgol,4,1,10.768110661995546,394.7643960213033,6
AW6D,savgol,4,2,11.058358740217715,817.7438656659382,6
AW6D,savgol,4,3,12.155238636747354,1590.7866281149848,6
AW6D,savgol,4,4,17.91678378143033,12778.010482981674,10
AW6D,savgol,5,1,10.754510945574875,394.72869543897497,6
AW6D,savgol,5,2,11.139005095330862,928.5615243948407,6
AW6D,savgol,5,3,14.593308787420957,4264.88250042053,8
AW6D,savgol,5,4,16.883269562938914,7838.406532803085,10
AW6D,savgol,5,5,17.61563640198451,12130.349859324697,10
AW6D,savgol,6,1,8.598192971215164,393.0319735489166,5
AW6D,savgol,6,2,10.752615497931751,393.06760273588463,6
AW6D,savgol,6,3,11.139005095330862,928.5615243948228,6
AW6D,savgol,6,4,14.59330878742095,4264.882500420329,8
AW6D,savgol,6,5,16.883269562938914,7838.40653280258,10
AW6D,savgol,6,6,17.615636401984506,12130.349859323753,10
AW6D,savgol,7,1,3.9972987553880195,384.7303059040094,2
AW6D,savgol,7,2,7.058436045278237,392.48102585770414,4
AW6D,savgol,7,3,10.752836151667047,393.26061456266336,6
AW6D,savgol,7,4,11.139005095330864,928.5615243947818,6
AW6D,savgol,7,5,14.593308787420986,4264.882500420373,8
AW6D,savgol,7,6,16.8832695629389,7838.406532802828,10
AW6D,savgol,7,7,17.615636401984506,12130.349859324473,10
AW6D,savgol,8,1,3.9972987553876074,384.7303059040074,2
AW6D,savgol,8,2,7.058436045277049,392.48102585770613,4
AW6D,savgol,8,3,10.752836151667049,393.260614562671,6
AW6D,savgol,8,4,11.13900509533086,928.5615243947905,6
AW6D,savgol,8,5,14.593462197930036,4265.171271218635,8
AW6D,savgol,8,6,16.90248559336861,7878.1139505853735,10
AW6D,savgol,8,7,17.704178412662756,12982.191572104117,10
AW6D,savgol,8,8,18.355314165338758,13931.267904076421,10
AW6D,savgol,9,1,8.528821519476555,392.9446181554566,5
AW6D,savgol,9,2,10.76654719997264,393.21881818941324,6
AW6D,savgol,9,3,11.058269295662988,817.5603641742324,6
AW6D,savgol,9,4,12.161910844958859,1597.7850481189748,6
AW6D,savgol,9,5,13.177447380778013,2053.9149751487193,7
AW6D,savgol,9,6,13.880141442334686,3320.1484599048617,8
AW6D,savgol,9,7,15.491853588221865,5515.033168762649,9
AW6D,savgol,9,8,16.83012908917656,7618.422245593768,10
AW6D,savgol,9,9,17.619636313445184,12140.503355080256,10
AW6D,savgol,10,1,3.237234128942934,385.366009663226,1
AW6D,savgol,10,2,10.755141404133251,395.31295412957013,6
AW6D,savgol,10,3,11.13902636003045,928.5702390129181,6
AW6D,savgol,10,4,14.593462197930068,4265.17127121844,8
AW6D,savgol,10,5,16.902608292944386,7878.370832659167,10
AW6D,savgol,10,6,17.70694093006803,13005.711041377112,10
AW6D,savgol,10,7,18.625266600422894,14283.771833453347,10
AW6D,savgol,10,8,19.4527618100061,18345.263920687616,11
AW6D,savgol,10,9,21.380560043957757,25474.01705926587,12
AW6D,savgol,10,10,21.98250681582359,31723.485784482084,13
AW6D,savgol,11,1,4.123383198935247,384.66495000198336,2
AW6D,savgol,11,2,5.670854610602455,389.39149532621576,3
AW6D,savgol,11,3,7.376101656566624,392.5929853725562,4
AW6D,savgol,11,4,10.766635953643108,393.3063943908359,6
AW6D,savgol,11,5,11.058269295662987,817.5603641742215,6
AW6D,savgol,11,6,12.163455124796524,1599.2837884495239,6
AW6D,savgol,11,7,13.143406437035953,2034.4648102691158,7
AW6D,savgol,11,8,14.028653903752607,3578.6969394683106,8
AW6D,savgol,11,9,16.932786913909645,8030.335557184941,10
AW6D,savgol,11,10,17.704450133297282,12982.57382185936,10
AW6D,savgol,11,11,18.355314165338704,13931.267904075139,10
AW6D,savgol,12,1,2.3258979700281674,386.49951780353655,0
AW6D,savgol,12,2,3.1282326681405204,384.863255489394,1
AW6D,savgol,12,3,4.3490749930155035,384.7450985053659,2
AW6D,savgol,12,4,4.590216469577041,386.60618306013083,2
AW6D,savgol,12,5,7.039753161326311,392.2106333237607,4
AW6D,savgol,12,6,8.630493405955182,393.0347844742639,5
AW6D,savgol,12,7,10.752614175025414,393.0664458393642,6
AW6D,savgol,12,8,11.139005095330862,928.5615243946461,6
AW6D,savgol,12,9,14.593462197930048,4265.1712712175195,8
AW6D,savgol,12,10,16.90248559336861,7878.11395058265,10
