Vertical Position [m],Corrected sp Cond [uS/cm]
6.795,7043.2
6.801,7044.7
6.81,7046.3
6.815,7047.7
6.819,7049.0
6.822,7050.3
6.833,7051.6
6.839,7052.2
6.842,7053.5
6.855,7054.8
6.861,7056.2
6.864,7057.5
6.875,7058.8
6.881,7060.1
6.886,7061.5
6.896,7062.9
6.903,7063.6
6.908,7064.8
6.917,7066.1
6.925,7067.2
6.928,7068.3
6.929,7069.5
6.941,7070.7
6.949,7071.9
6.953,7072.6
6.965,7074.1
6.971,7075.6
6.972,7077.1
6.977,7078.5
6.99,7080.0
6.994,7081.5
6.995,7083.1
7.009,7083.9
7.013,7086.2
7.025,7088.4
7.029,7089.9
7.03,7091.5
7.04,7093.3
7.046,7095.2
7.048,7097.1
7.061,7098.1
7.067,7101.0
7.07,7103.9
7.082,7105.8
7.088,7107.8
7.09,7109.5
7.104,7111.3
7.108,7113.1
7.113,7114.0
7.12,7115.8
7.126,7117.5
7.129,7119.3
7.132,7121.2
7.142,7123.0
7.145,7124.9
7.152,7126.8
7.158,7127.8
7.163,7129.9
7.165,7132.1
7.177,7134.2
7.181,7137.2
7.191,7140.4
7.195,7142.7
7.197,7143.8
7.208,7146.0
7.214,7148.3
7.218,7150.7
7.222,7153.1
7.236,7155.6
7.239,7159.2
7.252,7161.6
7.259,7164.0
7.264,7166.3
7.283,7168.5
7.289,7170.8
7.29,7172.9
7.302,7175.1
7.311,7177.2
7.317,7179.5
7.326,7180.6
7.339,7182.6
7.34,7186.5
7.341,7184.5
7.352,7188.6
7.358,7190.6
7.359,7192.7
7.371,7194.6
7.376,7196.4
7.385,7199.1
7.39,7200.8
7.392,7202.6
7.398,7204.5
7.413,7206.3
7.417,7208.2
7.424,7209.2
7.435,7211.3
7.441,7213.2
7.444,7215.3
7.452,7217.2
7.456,7220.200000000001
7.465,7223.1
7.471,7225.2
7.476,7226.3
7.483,7228.8
7.501,7231.6
7.506,7234.3
7.511,7236.8
7.525,7239.2
7.528,7242.0
7.531,7244.9
7.547,7246.4
7.554,7249.4
7.558,7252.5
7.574,7255.6
7.582,7258.8
7.587,7262.0
7.594,7265.2
7.614,7268.3
7.619,7271.4
7.624,7273.0
7.633,7275.9
7.638,7280.0
7.651,7283.9
7.654,7286.6
7.657,7289.4
7.667,7292.4
7.674,7293.9
7.678,7296.9
7.684,7299.6
7.694,7302.1
7.696,7304.9
7.698,7307.7
7.706,7310.3
7.707,7312.8
7.708,7314.0
7.713,7316.7
7.718,7319.5
7.719,7322.5
7.73,7325.7
7.736,7330.65
7.747,7337.15
7.748,7341.0
7.75,7337.8
7.754,7343.1
7.755,7345.4
7.759,7348.1
7.765,7350.7
7.767,7353.2
7.768,7357.85
7.769,7366.1
7.77,7364.125
7.771,7365.280000000001
7.772,7365.85
7.773,7366.24
7.774,7369.342857142857
7.775,7369.581818181819
7.776,7369.975
7.777,7369.660000000001
7.778,7371.0
7.78,7370.2
7.792,7370.3
7.793,7370.5
7.798,7370.7
7.803,7370.9
7.804,7371.5
7.806,7371.2
7.81,7372.0
7.815,7372.6
7.818,7373.4
7.827,7374.3
7.833,7374.8
7.838,7375.8
7.844,7377.0
7.858,7378.4
7.864,7379.9
7.866,7381.4
7.877,7382.9
7.882,7384.85
7.893,7386.9
7.898,7388.7
7.9,7390.5
7.911,7392.6
7.916,7394.8
7.921,7397.1
7.931,7399.7
7.937,7401.0
7.94,7403.8
7.943,7406.7
7.955,7409.7
7.958,7415.4
7.959,7412.4
7.966,7442.5
7.967,7418.4
7.968,7438.7
7.972,7421.6
